"image","xmin","ymin","xmax","ymax","label"
"artilleriya%20(1).jpg",5.965909090909091,106.41233766233766,88.75811688311688,225,"pehota"
"artilleriya%20(1).jpg",74.87824675324676,25.81168831168831,225,216.7207792207792,"artilleriya"
"artilleriya%20(10).jpg",0.6202618883528601,69.489852398524,129.2212267401792,150.28690036900372,"artilleriya"
"artilleriya%20(10).jpg",106.89179875947623,68.04335793357934,236.1130254996554,140.9880073800738,"artilleriya"
"artilleriya%20(10).jpg",226.60234321157822,83.74815498154982,296.48518263266715,140.16143911439116,"artilleriya"
"artilleriya%20(100).jpg",8.403827347083926,4.727272727272727,257.62502222617354,159.34848484848484,"artilleriya"
"artilleriya%20(101).jpg",92.3170227429359,24.04371165644172,261.7022742935906,157.6191717791411,"artilleriya"
"artilleriya%20(102).jpg",18.042327343199435,20.95995670995671,169.09095313601128,171.00974025974025,"artilleriya"
"artilleriya%20(103).jpg",20.882480862908835,53.961038961038966,243.79131871955462,159.74025974025975,"artilleriya"
"artilleriya%20(104).jpg",2.7037000783085356,7.648268398268398,241.68882145653876,170.3290043290043,"artilleriya"
"artilleriya%20(105).jpg",27.911784975878707,7.29059040590406,200.13783597518952,161.03228782287823,"artilleriya"
"artilleriya%20(105).jpg",164.16264645072366,56.058118081180815,254.92763611302553,144.08763837638378,"artilleriya"
"artilleriya%20(106).jpg",2.923359881209503,18.41883116883117,230.40716117710585,144.97402597402598,"artilleriya"
"artilleriya%20(106).jpg",8.664900557955363,60.00974025974026,52.41940019798416,146.7564935064935,"pehota"
"artilleriya%20(107).jpg",69.67608545830461,27.128228782287824,99.65541006202619,62.257380073800746,"pehota"
"artilleriya%20(107).jpg",130.4617505168849,35.60055350553505,156.30599586492073,84.3680811808118,"pehota"
"artilleriya%20(107).jpg",116.81598897312199,16.589483394833948,143.48725017229498,42.00645756457565,"pehota"
"artilleriya%20(107).jpg",179.0489317711923,32.50092250922509,199.51757408683667,93.25369003690037,"pehota"
"artilleriya%20(107).jpg",242.7291523087526,31.467712177121772,267.539627842867,82.30166051660517,"pehota"
"artilleriya%20(107).jpg",27.70503101309442,3.7776752767527677,294.00413507925566,163.51199261992622,"artilleriya"
"artilleriya%20(108).jpg",2.720882150241213,3.404231134636265,272.08821502412127,171.9091171281216,"artilleriya"
"artilleriya%20(109).jpg",7.674979751619871,66.14935064935065,148.8376867350612,165.96753246753246,"artilleriya"
"artilleriya%20(109).jpg",81.12710358171347,85.95454545454545,169.03207118430527,157.0551948051948,"artilleriya"
"artilleriya%20(109).jpg",133.7908904787617,84.76623376623377,192.7901705363571,149.13311688311688,"artilleriya"
"artilleriya%20(109).jpg",162.8945621850252,95.46103896103897,212.19261834053276,138.83441558441558,"artilleriya"
"artilleriya%20(11).jpg",0,73.78246753246755,219.7646103896104,179.9512987012987,"artilleriya"
"artilleriya%20(11).jpg",203.9366883116883,129.54545454545453,223.66071428571428,177.51623376623377,"pehota"
"artilleriya%20(11).jpg",175.44642857142858,92.04545454545455,193.2224025974026,127.3538961038961,"pehota"
"artilleriya%20(110).jpg",4.524356941508104,52.693722943722946,274.88376497533477,154.75108225108227,"artilleriya"
"artilleriya%20(110).jpg",158.90349718111347,45.05411255411256,185.93943798449612,69.34415584415585,"pehota"
"artilleriya%20(111).jpg",1.1415024298056156,29.905844155844157,275,175.8701298701299,"artilleriya"
"artilleriya%20(112).jpg",23.537560303239143,11.451123595505617,276.1212956581668,176,"artilleriya"
"artilleriya%20(113).jpg",4.9032014938804895,50.30519480519481,275,147.5487012987013,"artilleriya"
"artilleriya%20(114).jpg",73.00975296976242,38.422077922077925,254.56122885169188,173.29545454545456,"artilleriya"
"artilleriya%20(114).jpg",18.564108621310297,77.8344155844156,71.82184800215984,143.3896103896104,"artilleriya"
"artilleriya%20(115).jpg",61.768955125607775,3.779220779220779,196.9358919165316,160.82683982683983,"artilleriya"
"artilleriya%20(116).jpg",10.031390554722638,9.511904761904763,266.4706709145427,178.9047619047619,"tank"
"artilleriya%20(117).jpg",60.37698139214335,65.1429306402439,89.6381805651275,145.1087842987805,"pehota"
"artilleriya%20(117).jpg",6.388008270158512,61.43317454268292,44.50999310820124,152.1161013719512,"pehota"
